# 和合本【雅伟】 -- the divine name's Strong's number, H3068 vs H3069.
#
# Source: cuvs+-YHWH.20260912.ont, the editor's module of 2026-09-12
# (md5 f8f547517e5acfaf3dd7f11fde47eb64). That module as a whole is a
# regression -- it drops 2,963 " inside the editor's notes in 1,106
# verses, and puts 主[雅伟] back in Luke 1:70, Acts 5:12 and Rom 15:10,
# which Raymond ruled to be 主<WG0> because WH has no kurios there. So the
# module is NOT installed; these 41 verses are the part of it that is
# right, lifted out and applied on their own.
#
# WHY they are right. H3069 is YHWH pointed as Elohim -- the reading next
# to Adonai; H3068 is the ordinary one. All 41 were checked against this
# project's own Hebrew (bsapp_bible_wlcs, the Leningrad text with
# Westminster's tagging): the module's number agrees with the Hebrew in
# all 41, ours in none. Gen 15:8 is <WH136> Adonai then the name -> H3069;
# Ps 1:2 is the name alone -> H3068. 37 are 3069->3068, 4 are 3068->3069.
#
# Tracked, unlike tools/modules/, which is gitignored: the table IS the
# finding, and is not recoverable from anything else in the repository.
# 'before' must match the row exactly or tools/apply-cuv-audit.py refuses.
# The same edit goes to bsapp_bible_cuvt by tag position -- the two tables
# are ASCII-identical, which the script also checks.
#
# book	chapter	verse	before	after
Gen	15	8	亚伯兰说<WH559><WH8799>：“主<WH136>雅伟<WH3068>啊，我怎能<WH4100>知道<WH3045><WH8799><WH3588x>必得这地为业<WH3423><WH8799>呢？”	亚伯兰说<WH559><WH8799>：“主<WH136>雅伟<WH3069>啊，我怎能<WH4100>知道<WH3045><WH8799><WH3588x>必得这地为业<WH3423><WH8799>呢？”
Lev	18	6	“你们<WH376x><WH376x><WH413x>都不可<WH3808>露<WH1540><WH8763>骨肉之亲的<WH7607><WH1320>下体<WH6172>，亲近她们<WH7126><WH8799>。我是<WH589>雅伟<WH3069>。	“你们<WH376x><WH376x><WH413x>都不可<WH3808>露<WH1540><WH8763>骨肉之亲的<WH7607><WH1320>下体<WH6172>，亲近她们<WH7126><WH8799>。我是<WH589>雅伟<WH3068>。
Num	5	16	“祭司<WH3548>要使那妇人<WH853x>近前来<WH7126><WH8689>，站在<WH5975><WH8689>雅伟<WH3069>面前<WH6440>。	“祭司<WH3548>要使那妇人<WH853x>近前来<WH7126><WH8689>，站在<WH5975><WH8689>雅伟<WH3068>面前<WH6440>。
Ruth	1	6	她<WH1931>就与两个儿妇<WH3618>起身<WH6965><WH8799>，要从摩押<WH4124>地<WH7704>归回<WH7725><WH8799>；因为<WH3588>她在摩押<WH4124>地<WH7704>听见<WH8085><WH8804><WH3588x>雅伟<WH3069>眷顾<WH6485><WH8804>自己的百姓<WH853x><WH5971>，赐<WH5414><WH8800>粮食<WH3899>与他们。	她<WH1931>就与两个儿妇<WH3618>起身<WH6965><WH8799>，要从摩押<WH4124>地<WH7704>归回<WH7725><WH8799>；因为<WH3588>她在摩押<WH4124>地<WH7704>听见<WH8085><WH8804><WH3588x>雅伟<WH3068>眷顾<WH6485><WH8804>自己的百姓<WH853x><WH5971>，赐<WH5414><WH8800>粮食<WH3899>与他们。
2Sam	7	22	主<WH430>雅伟<WH3068>啊！你本为大<WH5921><WH3651><WH1431><WH8804>，照我们耳中<WH241>听见<WH3605x><WH834x><WH8085><WH8804>，<WH3588x>没有<WH369>可比你的<WH3644>；除你以外<WH2108>再无<WH369>神<WH430>。	主<WH430>雅伟<WH3069>啊！你本为大<WH5921><WH3651><WH1431><WH8804>，照我们耳中<WH241>听见<WH3605x><WH834x><WH8085><WH8804>，<WH3588x>没有<WH369>可比你的<WH3644>；除你以外<WH2108>再无<WH369>神<WH430>。
Ps	1	2	惟<WH3588><WH518>喜爱<WH2656>雅伟<WH3069>的律法<WH8451>，昼<WH3119>夜<WH3915>思想<WH1897><WH8799><WH8451x>，这人<WH834><WH376>便为有福<WH835>。	惟<WH3588><WH518>喜爱<WH2656>雅伟<WH3068>的律法<WH8451>，昼<WH3119>夜<WH3915>思想<WH1897><WH8799><WH8451x>，这人<WH834><WH376>便为有福<WH835>。
Ps	3	4	我用我的声音<WH6963>求告<WH413x><WH7121><WH8799>雅伟<WH3069>，他就从他的圣山上<WH2022><WH6944>应允我<WH6030><WH8799>。（细拉<WH5542>）	我用我的声音<WH6963>求告<WH413x><WH7121><WH8799>雅伟<WH3068>，他就从他的圣山上<WH2022><WH6944>应允我<WH6030><WH8799>。（细拉<WH5542>）
Ps	6	2	雅伟<WH3069>啊！求你可怜我<WH2603><WH8798>，因为<WH3588>我<WH589>软弱<WH536>。雅伟<WH3069>啊！求你医治我<WH7495><WH8798>，因为<WH3588>我的骨头<WH6106>发战<WH926><WH8738>。	雅伟<WH3068>啊！求你可怜我<WH2603><WH8798>，因为<WH3588>我<WH589>软弱<WH536>。雅伟<WH3068>啊！求你医治我<WH7495><WH8798>，因为<WH3588>我的骨头<WH6106>发战<WH926><WH8738>。
Ps	9	19	雅伟<WH3069>啊！求你起来<WH6965><WH8798>，不容<WH408>人<WH582>得胜<WH5810><WH8799>！愿外邦人<WH1471>在你面前<WH5921><WH6440>受审判<WH8199><WH8735>。	雅伟<WH3068>啊！求你起来<WH6965><WH8798>，不容<WH408>人<WH582>得胜<WH5810><WH8799>！愿外邦人<WH1471>在你面前<WH5921><WH6440>受审判<WH8199><WH8735>。
Ps	9	20	雅伟<WH3069>啊！求你使<WH7896><WH8798>外邦人<WH1471>恐惧<WH4172><WH8675>；愿他们<WH1992>知道<WH3045><WH8799>自己不过是人<WH582>。（细拉<WH5542>）	雅伟<WH3068>啊！求你使<WH7896><WH8798>外邦人<WH1471>恐惧<WH4172><WH8675>；愿他们<WH1992>知道<WH3045><WH8799>自己不过是人<WH582>。（细拉<WH5542>）
Ps	31	21	雅伟<WH3069>是应当称颂的<WH1288><WH8803>，因为<WH3588>他在坚固城里<WH5892><WH4692>，向我施展奇妙的<WH6381><WH8689>慈爱<WH2617>。	雅伟<WH3068>是应当称颂的<WH1288><WH8803>，因为<WH3588>他在坚固城里<WH5892><WH4692>，向我施展奇妙的<WH6381><WH8689>慈爱<WH2617>。
Ps	38	15	<WH3588x>雅伟<WH3069>啊！我仰望你<WH3176><WH8689>；主<WH136>我的神<WH430>啊！你<WH859>必应允我<WH6030><WH8799>。	<WH3588x>雅伟<WH3068>啊！我仰望你<WH3176><WH8689>；主<WH136>我的神<WH430>啊！你<WH859>必应允我<WH6030><WH8799>。
Ps	48	8	我们在万军之<WH6635>雅伟<WH3069>的城中<WH5892>，就是我们神的<WH430>城中<WH5892>，所看见<WH7200><WH8804>的，正如<WH3651>我们所听见的<WH834><WH8085><WH8804>。神<WH430>必坚立<WH3559><WH8787>这城，直到<WH5704>永远<WH5769>。（细拉<WH5542>）	我们在万军之<WH6635>雅伟<WH3068>的城中<WH5892>，就是我们神的<WH430>城中<WH5892>，所看见<WH7200><WH8804>的，正如<WH3651>我们所听见的<WH834><WH8085><WH8804>。神<WH430>必坚立<WH3559><WH8787>这城，直到<WH5704>永远<WH5769>。（细拉<WH5542>）
Ps	64	10	义人<WH6662>必因雅伟<WH3069>欢喜<WH8055><WH8799>，并要投靠他<WH2620><WH8804>；凡<WH3605>心里<WH3820>正直的人<WH3477>，都要夸口<WH1984><WH8691>。	义人<WH6662>必因雅伟<WH3068>欢喜<WH8055><WH8799>，并要投靠他<WH2620><WH8804>；凡<WH3605>心里<WH3820>正直的人<WH3477>，都要夸口<WH1984><WH8691>。
Ps	106	34	他们不照<WH3808>雅伟<WH3069>所吩咐的<WH834><WH559><WH8804>灭绝<WH8045><WH8689>外邦人<WH853x><WH5971>，	他们不照<WH3808>雅伟<WH3068>所吩咐的<WH834><WH559><WH8804>灭绝<WH8045><WH8689>外邦人<WH853x><WH5971>，
Ps	107	6	于是，他们在苦难中<WH6862>哀求<WH6817><WH8799><WH413x>雅伟<WH3069>；他从他们的祸患中<WH4691>搭救他们<WH5337><WH8686>，	于是，他们在苦难中<WH6862>哀求<WH6817><WH8799><WH413x>雅伟<WH3068>；他从他们的祸患中<WH4691>搭救他们<WH5337><WH8686>，
Ps	107	13	于是，他们在苦难中<WH6862>哀求<WH2199><WH8799><WH413x>雅伟<WH3069>；他从他们的祸患中<WH4691>拯救他们<WH3467><WH8686>。	于是，他们在苦难中<WH6862>哀求<WH2199><WH8799><WH413x>雅伟<WH3068>；他从他们的祸患中<WH4691>拯救他们<WH3467><WH8686>。
Ps	107	19	于是，他们在苦难中<WH6862>哀求<WH2199><WH8799><WH413x>雅伟<WH3069>；他从他们的祸患中<WH4691>拯救他们<WH3467><WH8686>。	于是，他们在苦难中<WH6862>哀求<WH2199><WH8799><WH413x>雅伟<WH3068>；他从他们的祸患中<WH4691>拯救他们<WH3467><WH8686>。
Ps	107	28	于是，他们在苦难中<WH6862>哀求<WH6817><WH8799><WH413x>雅伟<WH3069>，他从他们的祸患中<WH4691>领出他们来<WH3318><WH8686>。	于是，他们在苦难中<WH6862>哀求<WH6817><WH8799><WH413x>雅伟<WH3068>，他从他们的祸患中<WH4691>领出他们来<WH3318><WH8686>。
Ps	119	1	行为<WH1870>完全<WH8549>、遵行<WH1980><WH8802>雅伟<WH3069>律法<WH8451>的，这人便为有福<WH835>。	行为<WH1870>完全<WH8549>、遵行<WH1980><WH8802>雅伟<WH3068>律法<WH8451>的，这人便为有福<WH835>。
Ps	119	12	雅伟<WH3069>啊！你是<WH859>应当称颂的<WH1288><WH8803>；求你将你的律例<WH2706>教训我<WH3925><WH8761>。	雅伟<WH3068>啊！你是<WH859>应当称颂的<WH1288><WH8803>；求你将你的律例<WH2706>教训我<WH3925><WH8761>。
Ps	119	31	我持守<WH1692><WH8804>你的法度<WH5715>；雅伟<WH3069>啊，求你不要叫我羞愧<WH408><WH954><WH8686>。	我持守<WH1692><WH8804>你的法度<WH5715>；雅伟<WH3068>啊，求你不要叫我羞愧<WH408><WH954><WH8686>。
Ps	119	33	雅伟<WH3069>啊！求你将你的律例<WH1870><WH2706>指教我<WH3384><WH8685>，我必遵守<WH5341><WH8799>到底<WH6118>。	雅伟<WH3068>啊！求你将你的律例<WH1870><WH2706>指教我<WH3384><WH8685>，我必遵守<WH5341><WH8799>到底<WH6118>。
Ps	119	52	雅伟<WH3069>啊！我记念<WH2142><WH8804>你从古以来的<WH5769>典章<WH4941>，就得了安慰<WH5162><WH8691>。	雅伟<WH3068>啊！我记念<WH2142><WH8804>你从古以来的<WH5769>典章<WH4941>，就得了安慰<WH5162><WH8691>。
Ps	128	1	（上行<WH4609>之诗<WH7892>。）凡<WH3605>敬畏<WH3373>雅伟<WH3069>，遵行<WH1980><WH8802>他道的人<WH1870>便为有福<WH835>。	（上行<WH4609>之诗<WH7892>。）凡<WH3605>敬畏<WH3373>雅伟<WH3068>，遵行<WH1980><WH8802>他道的人<WH1870>便为有福<WH835>。
